symbol,session_date,bars,first_bar,last_bar,open,close,volume,valid_for_scanner
SMCI,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,38.25,39.16,97338456.0,True
SPY,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,774.88,777.78,24005351.0,True
TSLA,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,327.08,340.03,24453375.0,True
TSM,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,429.15,430.6,5315136.0,True
AAPL,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,305.88,305.98,14621827.0,True
AMD,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,487.65,514.54,15768808.0,True
AMZN,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,264.94,262.63,13881956.0,True
ARM,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,278.23,279.44,1093899.0,True
AVGO,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,412.0,393.08,19339918.0,True
COIN,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,150.97,148.52,4167670.0,True
GOOGL,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,346.78,345.9,9134060.0,True
IWM,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,303.28,305.07,10236600.0,True
JPM,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,363.0,362.8,2566074.0,True
META,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,596.99,589.75,4965377.0,True
MRVL,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,221.4,221.98,8566258.0,True
MSTR,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,94.97,93.06,13006997.0,True
MU,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,979.61,971.98,19059678.0,True
NVDA,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,226.75,225.18,45033841.0,True
PLTR,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,179.28,174.05,14654974.0,True
QQQ,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,733.41,731.07,16185734.0,True
SMCI,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,39.16,39.84,47517890.0,True
SPY,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,778.53,776.34,19917213.0,True
TSLA,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,342.39,342.28,34543594.0,True
TSM,2026-08-14,26,2026-08-14 09:30:00-04:00,2026-08-14 15:45:00-04:00,429.2,426.32,4166431.0,True
AAPL,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,306.0,305.69,19820415.0,True
AMD,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,514.23,506.0,11241367.0,True
AMZN,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,265.51,261.33,25920334.0,True
ARM,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,285.52,271.41,1938933.0,True
AVGO,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,397.35,392.4,12037203.0,True
COIN,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,148.26,150.57,3241525.0,True
GOOGL,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,346.17,344.09,10565919.0,True
IWM,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,303.94,304.05,11154067.0,True
JPM,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,361.94,361.2,2365290.0,True
META,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,589.9,568.96,11629851.0,True
MRVL,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,227.7,234.34,12389213.0,True
